timestamp,c,h,l,o
2020-01-02T08:00:00Z,41.6789375441,41.6803624747,41.4659725116,41.4659725116
2020-01-02T09:00:00Z,41.6183263317,41.6804367732,41.6038869584,41.61245581
2020-01-02T10:00:00Z,41.5888412128,41.7696993593,41.5883810158,41.6379397126
2020-01-02T11:00:00Z,41.6851705701,41.7191467192,41.6052860685,41.6052860685
2020-01-02T12:00:00Z,41.5632401531,41.7723608403,41.5632401531,41.6398315561
2020-01-02T13:00:00Z,41.3917337402,41.6624052143,41.3917337402,41.5776264792
2020-01-02T14:00:00Z,41.4956263705,41.5455663894,41.3704445758,41.4463296081
2020-01-02T15:00:00Z,41.4841661466,41.4841661466,41.3378474162,41.4399412723
2020-01-02T16:00:00Z,41.0265993095,41.5712148117,41.0265993095,41.532446578
2020-01-02T17:00:00Z,40.0933752871,40.8123215148,39.9840946633,40.8123215148
2020-01-02T18:00:00Z,40.076635111,40.1025884945,39.9678559309,40.0594560949
2020-01-02T19:00:00Z,40.1585432225,40.1585432225,39.9747554916,40.1109326833
2020-01-02T20:00:00Z,39.813455949,40.1034168854,39.813455949,40.1034168854
2020-01-02T21:00:00Z,39.9276364004,39.954990298,39.7586918156,39.7825824869
2020-01-02T22:00:00Z,39.9118944532,39.9811774069,39.8536335825,39.9039801143
2020-01-02T23:00:00Z,39.8714739776,39.9521687667,39.7980269355,39.7980269355
2020-01-03T00:00:00Z,39.7964209959,39.8502893497,39.6976783295,39.8193501598
2020-01-03T01:00:00Z,39.5229629923,39.7878009146,39.5229629923,39.7878009146
2020-01-03T02:00:00Z,39.8564127667,39.906445762,39.4707930473,39.4757462847
2020-01-03T03:00:00Z,39.8219981088,39.9346412023,39.7821152822,39.8998753459
2020-01-03T04:00:00Z,40.6032865237,40.6032865237,39.8766761708,39.8783361155
2020-01-03T05:00:00Z,40.5902062121,40.6947770865,40.4345441675,40.5315763913
2020-01-03T06:00:00Z,40.6519971378,40.7235294759,40.555596613,40.5855589911
2020-01-03T07:00:00Z,40.7188748588,40.9662021167,40.6644564869,40.6644564869
2020-01-03T08:00:00Z,41.4937236255,41.50118916,40.7192776769,40.7422737605
2020-01-03T09:00:00Z,41.8750982974,41.8750982974,41.4724190045,41.5226507535
2020-01-03T10:00:00Z,41.6310916181,42.016007563,41.6310916181,42.016007563
2020-01-03T11:00:00Z,41.8647892085,41.8647892085,41.7053012614,41.7053012614
2020-01-03T12:00:00Z,41.8101365822,42.0141561297,41.8057414577,41.9048199426
2020-01-03T13:00:00Z,41.9795615933,41.9827192171,41.8238124399,41.8238124399
2020-01-03T14:00:00Z,41.7298399924,42.1877221723,41.666201703,42.1877221723
2020-01-03T15:00:00Z,42.0148502505,42.0148502505,41.6331981879,41.7548043131
2020-01-03T16:00:00Z,42.3638758891,42.3749749969,42.0769316066,42.0769316066
2020-01-03T17:00:00Z,42.2553126309,42.4206097742,42.2218829886,42.3801665877
2020-01-03T18:00:00Z,42.118086673,42.2428250887,42.118086673,42.2428250887
2020-01-03T19:00:00Z,42.0271419174,42.1285229071,41.8437072347,42.1285229071
2020-01-03T20:00:00Z,42.0677599422,42.1536903546,41.9589381283,42.1031030079
2020-01-03T21:00:00Z,41.8246401804,42.1796132892,41.8246401804,42.1032953522
2020-01-03T22:00:00Z,41.9595942991,41.970738763,41.8277629257,41.8351584579
2020-01-03T23:00:00Z,42.4106688753,42.4362419025,42.0245066207,42.0245066207
2020-01-04T00:00:00Z,42.2768690032,42.6721587978,42.2224297172,42.3670019229
2020-01-04T01:00:00Z,42.1036692997,42.4374320654,42.0772534861,42.3133767053
2020-01-04T02:00:00Z,42.1795242105,42.1795242105,41.9330760631,42.0112482286
2020-01-04T03:00:00Z,42.3258290889,42.3258290889,42.1485418445,42.1485418445
2020-01-04T04:00:00Z,42.2073177909,42.3791461411,42.1503742008,42.3791461411
2020-01-04T05:00:00Z,42.1817841702,42.2107741209,42.1418499222,42.2107741209
2020-01-04T06:00:00Z,42.3234534944,42.3906248891,42.1769947281,42.1769947281
2020-01-04T07:00:00Z,42.5692873598,42.8724169771,42.3666527661,42.3831441213
2020-01-04T08:00:00Z,42.5974481681,42.6181485119,42.5050419919,42.5913633083
2020-01-04T09:00:00Z,42.9627958614,42.9627958614,42.520742044,42.5426999031
2020-01-04T10:00:00Z,42.9222342876,42.976833558,42.7694621758,42.9006282133
2020-01-04T11:00:00Z,42.6540953916,42.8635189134,42.5536221019,42.8635189134
2020-01-04T12:00:00Z,42.2086866319,42.6577544693,42.1330134841,42.6508007774
2020-01-04T13:00:00Z,42.1458283013,42.3379305018,42.1337768292,42.1337768292
2020-01-04T14:00:00Z,42.3253826516,42.4289471252,42.1847212417,42.1847212417
2020-01-04T15:00:00Z,42.4400105469,42.4923505003,42.2246246343,42.3186447489
2020-01-04T16:00:00Z,42.6630435738,42.6794321052,42.5166599833,42.5166599833
2020-01-04T17:00:00Z,42.8070799703,42.8070799703,42.5845123762,42.5954872481
2020-01-04T18:00:00Z,42.7283525564,43.0848454077,42.7283525564,42.7683742844
2020-01-04T19:00:00Z,43.1830418651,43.1830418651,42.6447369775,42.6447369775
